date,d,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,temperature,fuel_price,cpi,unemployment
2023-03-10,d_69,2023_10,Friday,5,3,2023,,,,,0,0,0,68.9,3.34,295.27,4.61
2023-03-11,d_70,2023_10,Saturday,6,3,2023,,,,,0,0,0,64.0,3.35,295.93,4.61
2023-03-12,d_71,2023_10,Sunday,7,3,2023,,,,,0,0,0,58.8,3.62,296.32,4.58
2023-03-13,d_72,2023_11,Monday,1,3,2023,,,,,0,0,0,59.9,3.58,296.2,4.64
2023-03-14,d_73,2023_11,Tuesday,2,3,2023,,,,,0,0,0,61.2,3.4,296.49,4.63
2023-03-15,d_74,2023_11,Wednesday,3,3,2023,,,,,0,0,0,68.6,3.41,296.63,4.52
2023-03-16,d_75,2023_11,Thursday,4,3,2023,,,,,0,0,0,67.2,3.35,296.58,4.64
2023-03-17,d_76,2023_11,Friday,5,3,2023,,,,,0,0,0,70.2,3.3,296.26,4.58
2023-03-18,d_77,2023_11,Saturday,6,3,2023,,,,,0,0,0,64.9,3.44,295.63,4.65
2023-03-19,d_78,2023_11,Sunday,7,3,2023,,,,,0,0,0,68.2,3.38,296.2,4.56
2023-03-20,d_79,2023_12,Monday,1,3,2023,,,,,0,0,0,70.8,3.45,296.57,4.62
2023-03-21,d_80,2023_12,Tuesday,2,3,2023,,,,,0,0,0,66.5,3.34,295.99,4.61
2023-03-22,d_81,2023_12,Wednesday,3,3,2023,,,,,0,0,0,70.6,3.41,296.69,4.63
2023-03-23,d_82,2023_12,Thursday,4,3,2023,,,,,0,0,0,65.3,3.48,296.82,4.62
2023-03-24,d_83,2023_12,Friday,5,3,2023,,,,,0,0,0,67.1,3.51,296.53,4.6
2023-03-25,d_84,2023_12,Saturday,6,3,2023,,,,,0,0,0,67.3,3.51,295.27,4.53
2023-03-26,d_85,2023_12,Sunday,7,3,2023,,,,,0,0,0,63.6,3.38,296.0,4.54
2023-03-27,d_86,2023_13,Monday,1,3,2023,,,,,0,0,0,72.3,3.56,297.28,4.58
2023-03-28,d_87,2023_13,Tuesday,2,3,2023,,,,,0,0,0,67.8,3.43,296.33,4.6
2023-03-29,d_88,2023_13,Wednesday,3,3,2023,,,,,0,0,0,70.5,3.54,295.77,4.57
2023-03-30,d_89,2023_13,Thursday,4,3,2023,,,,,0,0,0,73.2,3.5,297.08,4.63
2023-03-31,d_90,2023_13,Friday,5,3,2023,,,,,0,0,0,73.3,3.39,296.61,4.58
2023-04-01,d_91,2023_13,Saturday,6,4,2023,,,,,1,1,0,74.7,3.48,297.06,4.55
2023-04-02,d_92,2023_13,Sunday,7,4,2023,,,,,1,1,0,71.2,3.54,296.75,4.58
2023-04-03,d_93,2023_14,Monday,1,4,2023,,,,,1,1,0,69.9,3.56,296.84,4.6
2023-04-04,d_94,2023_14,Tuesday,2,4,2023,,,,,1,1,0,71.9,3.5,296.82,4.6
2023-04-05,d_95,2023_14,Wednesday,3,4,2023,,,,,1,1,0,64.2,3.64,296.97,4.68
2023-04-06,d_96,2023_14,Thursday,4,4,2023,,,,,1,1,0,65.7,3.6,297.62,4.55
2023-04-07,d_97,2023_14,Friday,5,4,2023,,,,,1,1,0,66.6,3.5,297.12,4.57
2023-04-08,d_98,2023_14,Saturday,6,4,2023,,,,,0,0,0,68.5,3.58,296.11,4.59
2023-04-09,d_99,2023_14,Sunday,7,4,2023,,,,,0,0,0,75.8,3.68,296.94,4.57
2023-04-10,d_100,2023_15,Monday,1,4,2023,,,,,0,0,0,69.5,3.68,297.24,4.54
2023-04-11,d_101,2023_15,Tuesday,2,4,2023,,,,,0,0,0,72.5,3.43,297.28,4.49
2023-04-12,d_102,2023_15,Wednesday,3,4,2023,,,,,0,0,0,81.1,3.46,296.65,4.54
2023-04-13,d_103,2023_15,Thursday,4,4,2023,,,,,0,0,0,73.2,3.65,297.3,4.5
2023-04-14,d_104,2023_15,Friday,5,4,2023,,,,,0,0,0,78.9,3.45,297.23,4.47
2023-04-15,d_105,2023_15,Saturday,6,4,2023,,,,,0,0,0,70.8,3.43,297.9,4.51
2023-04-16,d_106,2023_15,Sunday,7,4,2023,,,,,0,0,0,74.8,3.5,296.59,4.49
2023-04-17,d_107,2023_16,Monday,1,4,2023,,,,,0,0,0,71.3,3.57,296.71,4.57
2023-04-18,d_108,2023_16,Tuesday,2,4,2023,,,,,0,0,0,74.6,3.53,296.8,4.57
2023-04-19,d_109,2023_16,Wednesday,3,4,2023,,,,,0,0,0,80.8,3.49,296.75,4.49
2023-04-20,d_110,2023_16,Thursday,4,4,2023,,,,,0,0,0,68.2,3.49,296.61,4.52
2023-04-21,d_111,2023_16,Friday,5,4,2023,,,,,0,0,0,79.3,3.49,295.87,4.44
2023-04-22,d_112,2023_16,Saturday,6,4,2023,,,,,0,0,0,78.6,3.48,296.82,4.5
2023-04-23,d_113,2023_16,Sunday,7,4,2023,,,,,0,0,0,74.7,3.73,297.16,4.54
2023-04-24,d_114,2023_17,Monday,1,4,2023,,,,,0,0,0,70.7,3.57,296.84,4.56
2023-04-25,d_115,2023_17,Tuesday,2,4,2023,,,,,0,0,0,78.6,3.62,297.83,4.48
2023-04-26,d_116,2023_17,Wednesday,3,4,2023,,,,,0,0,0,75.8,3.51,297.08,4.56
2023-04-27,d_117,2023_17,Thursday,4,4,2023,,,,,0,0,0,79.9,3.53,297.6,4.43
2023-04-28,d_118,2023_17,Friday,5,4,2023,,,,,0,0,0,79.1,3.49,297.21,4.44
2023-04-29,d_119,2023_17,Saturday,6,4,2023,,,,,0,0,0,87.2,3.34,297.45,4.53
2023-04-30,d_120,2023_17,Sunday,7,4,2023,,,,,0,0,0,78.2,3.44,297.25,4.58
2023-05-01,d_121,2023_18,Monday,1,5,2023,,,,,1,1,1,74.6,3.41,297.71,4.52
2023-05-02,d_122,2023_18,Tuesday,2,5,2023,,,,,1,1,1,80.8,3.37,297.2,4.48
2023-05-03,d_123,2023_18,Wednesday,3,5,2023,,,,,1,1,1,81.2,3.45,297.39,4.37
2023-05-04,d_124,2023_18,Thursday,4,5,2023,,,,,1,1,1,87.2,3.66,297.36,4.38
2023-05-05,d_125,2023_18,Friday,5,5,2023,,,,,1,1,1,84.8,3.55,297.12,4.48
2023-05-06,d_126,2023_18,Saturday,6,5,2023,,,,,1,1,1,82.6,3.65,297.41,4.45
2023-05-07,d_127,2023_18,Sunday,7,5,2023,,,,,1,1,1,88.3,3.58,298.16,4.41
2023-05-08,d_128,2023_19,Monday,1,5,2023,,,,,0,0,0,75.3,3.61,297.18,4.47
2023-05-09,d_129,2023_19,Tuesday,2,5,2023,,,,,0,0,0,78.2,3.47,297.47,4.46
2023-05-10,d_130,2023_19,Wednesday,3,5,2023,,,,,0,0,0,77.0,3.59,297.83,4.5
2023-05-11,d_131,2023_19,Thursday,4,5,2023,,,,,0,0,0,79.9,3.6,297.8,4.46
2023-05-12,d_132,2023_19,Friday,5,5,2023,,,,,0,0,0,75.2,3.5,297.36,4.51
2023-05-13,d_133,2023_19,Saturday,6,5,2023,,,,,0,0,0,85.4,3.59,296.42,4.44
2023-05-14,d_134,2023_19,Sunday,7,5,2023,,,,,0,0,0,81.3,3.59,297.6,4.43
2023-05-15,d_135,2023_20,Monday,1,5,2023,,,,,0,0,0,75.2,3.5,296.52,4.49
2023-05-16,d_136,2023_20,Tuesday,2,5,2023,,,,,0,0,0,77.7,3.45,298.02,4.38
2023-05-17,d_137,2023_20,Wednesday,3,5,2023,,,,,0,0,0,84.5,3.44,297.52,4.56
2023-05-18,d_138,2023_20,Thursday,4,5,2023,,,,,0,0,0,87.3,3.54,297.87,4.44
2023-05-19,d_139,2023_20,Friday,5,5,2023,,,,,0,0,0,93.3,3.56,297.12,4.43
2023-05-20,d_140,2023_20,Saturday,6,5,2023,,,,,0,0,0,98.0,3.47,296.88,4.44
2023-05-21,d_141,2023_20,Sunday,7,5,2023,,,,,0,0,0,85.7,3.53,297.62,4.5
2023-05-22,d_142,2023_21,Monday,1,5,2023,,,,,0,0,0,78.8,3.57,297.52,4.44
2023-05-23,d_143,2023_21,Tuesday,2,5,2023,,,,,0,0,0,73.2,3.58,297.36,4.32
2023-05-24,d_144,2023_21,Wednesday,3,5,2023,,,,,0,0,0,85.4,3.65,297.61,4.46
2023-05-25,d_145,2023_21,Thursday,4,5,2023,,,,,0,0,0,80.1,3.62,298.7,4.37
2023-05-26,d_146,2023_21,Friday,5,5,2023,,,,,0,0,0,82.2,3.44,297.94,4.39
2023-05-27,d_147,2023_21,Saturday,6,5,2023,,,,,0,0,0,81.4,3.65,298.05,4.32
2023-05-28,d_148,2023_21,Sunday,7,5,2023,,,,,0,0,0,83.9,3.47,297.98,4.4
2023-05-29,d_149,2023_22,Monday,1,5,2023,,,,,0,0,0,90.0,3.59,298.26,4.34
2023-05-30,d_150,2023_22,Tuesday,2,5,2023,,,,,0,0,0,85.6,3.51,297.61,4.37
2023-05-31,d_151,2023_22,Wednesday,3,5,2023,,,,,0,0,0,84.1,3.47,296.88,4.35
2023-06-01,d_152,2023_22,Thursday,4,6,2023,,,,,1,1,0,79.8,3.36,297.64,4.46
2023-06-02,d_153,2023_22,Friday,5,6,2023,,,,,1,1,0,76.7,3.49,298.06,4.45
2023-06-03,d_154,2023_22,Saturday,6,6,2023,,,,,1,1,0,82.8,3.37,297.37,4.35
2023-06-04,d_155,2023_22,Sunday,7,6,2023,,,,,1,1,0,85.0,3.57,297.7,4.35
2023-06-05,d_156,2023_23,Monday,1,6,2023,,,,,1,1,0,94.2,3.61,297.51,4.32
2023-06-06,d_157,2023_23,Tuesday,2,6,2023,,,,,1,1,0,86.1,3.42,298.41,4.39
2023-06-07,d_158,2023_23,Wednesday,3,6,2023,,,,,1,1,0,90.4,3.51,298.13,4.32
2023-06-08,d_159,2023_23,Thursday,4,6,2023,,,,,0,0,0,83.1,3.42,298.1,4.31
2023-06-09,d_160,2023_23,Friday,5,6,2023,,,,,0,0,0,79.7,3.43,298.11,4.38
2023-06-10,d_161,2023_23,Saturday,6,6,2023,,,,,0,0,0,80.9,3.53,297.87,4.3
2023-06-11,d_162,2023_23,Sunday,7,6,2023,,,,,0,0,0,82.1,3.46,297.98,4.32
2023-06-12,d_163,2023_24,Monday,1,6,2023,,,,,0,0,0,96.5,3.6,297.44,4.24
2023-06-13,d_164,2023_24,Tuesday,2,6,2023,,,,,0,0,0,81.8,3.42,297.06,4.35
2023-06-14,d_165,2023_24,Wednesday,3,6,2023,,,,,0,0,0,90.1,3.54,298.01,4.4
2023-06-15,d_166,2023_24,Thursday,4,6,2023,,,,,0,0,0,81.4,3.46,298.1,4.34
2023-06-16,d_167,2023_24,Friday,5,6,2023,,,,,0,0,0,90.6,3.51,298.47,4.37
2023-06-17,d_168,2023_24,Saturday,6,6,2023,,,,,0,0,0,87.9,3.41,298.63,4.25
2023-06-18,d_169,2023_24,Sunday,7,6,2023,,,,,0,0,0,85.2,3.43,298.65,4.3
2023-06-19,d_170,2023_25,Monday,1,6,2023,,,,,0,0,0,85.8,3.43,297.64,4.24
2023-06-20,d_171,2023_25,Tuesday,2,6,2023,,,,,0,0,0,82.7,3.36,297.92,4.27
2023-06-21,d_172,2023_25,Wednesday,3,6,2023,,,,,0,0,0,88.2,3.48,298.27,4.32
2023-06-22,d_173,2023_25,Thursday,4,6,2023,,,,,0,0,0,83.7,3.47,299.11,4.28
2023-06-23,d_174,2023_25,Friday,5,6,2023,,,,,0,0,0,79.9,3.46,298.71,4.2
2023-06-24,d_175,2023_25,Saturday,6,6,2023,,,,,0,0,0,79.6,3.53,298.58,4.2
2023-06-25,d_176,2023_25,Sunday,7,6,2023,,,,,0,0,0,86.8,3.52,297.99,4.2
2023-06-26,d_177,2023_26,Monday,1,6,2023,,,,,0,0,0,93.8,3.37,297.81,4.29
2023-06-27,d_178,2023_26,Tuesday,2,6,2023,,,,,0,0,0,86.7,3.43,298.5,4.36
2023-06-28,d_179,2023_26,Wednesday,3,6,2023,,,,,0,0,0,85.2,3.34,297.76,4.32
2023-06-29,d_180,2023_26,Thursday,4,6,2023,,,,,0,0,0,87.2,3.39,298.13,4.16
2023-06-30,d_181,2023_26,Friday,5,6,2023,,,,,0,0,0,92.3,3.33,298.19,4.32
2023-07-01,d_182,2023_26,Saturday,6,7,2023,,,,,0,1,0,86.8,3.51,298.9,4.29
2023-07-02,d_183,2023_26,Sunday,7,7,2023,,,,,0,1,0,83.6,3.4,298.13,4.16
2023-07-03,d_184,2023_27,Monday,1,7,2023,,,,,0,1,0,91.1,3.35,297.32,4.22
2023-07-04,d_185,2023_27,Tuesday,2,7,2023,IndependenceDay,National,,,0,1,0,87.6,3.46,298.51,4.29
2023-07-05,d_186,2023_27,Wednesday,3,7,2023,,,,,0,1,0,93.1,3.18,298.05,4.26
2023-07-06,d_187,2023_27,Thursday,4,7,2023,,,,,0,1,0,86.3,3.19,298.37,4.16
2023-07-07,d_188,2023_27,Friday,5,7,2023,,,,,0,1,0,79.1,3.41,298.33,4.25
2023-07-08,d_189,2023_27,Saturday,6,7,2023,,,,,0,0,0,78.3,3.34,298.27,4.11
2023-07-09,d_190,2023_27,Sunday,7,7,2023,,,,,0,0,0,93.3,3.35,298.72,4.21
2023-07-10,d_191,2023_28,Monday,1,7,2023,,,,,0,0,0,93.6,3.22,297.81,4.27
2023-07-11,d_192,2023_28,Tuesday,2,7,2023,,,,,0,0,0,84.0,3.32,298.23,4.21
2023-07-12,d_193,2023_28,Wednesday,3,7,2023,,,,,0,0,0,82.8,3.48,298.73,4.18
2023-07-13,d_194,2023_28,Thursday,4,7,2023,,,,,0,0,0,92.0,3.38,298.23,4.25
2023-07-14,d_195,2023_28,Friday,5,7,2023,,,,,0,0,0,79.0,3.32,297.85,4.25
2023-07-15,d_196,2023_28,Saturday,6,7,2023,,,,,0,0,0,79.9,3.26,298.78,4.27
2023-07-16,d_197,2023_28,Sunday,7,7,2023,,,,,0,0,0,87.5,3.26,298.98,4.24
2023-07-17,d_198,2023_29,Monday,1,7,2023,,,,,0,0,0,82.2,3.12,298.53,4.25
2023-07-18,d_199,2023_29,Tuesday,2,7,2023,,,,,0,0,0,84.0,3.3,297.78,4.23
2023-07-19,d_200,2023_29,Wednesday,3,7,2023,,,,,0,0,0,83.0,3.34,298.86,4.2
2023-07-20,d_201,2023_29,Thursday,4,7,2023,,,,,0,0,0,85.4,3.14,297.94,4.19
2023-07-21,d_202,2023_29,Friday,5,7,2023,,,,,0,0,0,90.6,3.21,298.74,4.17
2023-07-22,d_203,2023_29,Saturday,6,7,2023,,,,,0,0,0,83.8,3.17,298.28,4.12
2023-07-23,d_204,2023_29,Sunday,7,7,2023,,,,,0,0,0,86.4,3.17,298.19,4.13
2023-07-24,d_205,2023_30,Monday,1,7,2023,,,,,0,0,0,72.8,3.25,298.5,4.17
2023-07-25,d_206,2023_30,Tuesday,2,7,2023,,,,,0,0,0,82.6,3.07,298.62,4.19
2023-07-26,d_207,2023_30,Wednesday,3,7,2023,,,,,0,0,0,78.5,3.28,298.45,4.25
2023-07-27,d_208,2023_30,Thursday,4,7,2023,,,,,0,0,0,76.4,3.29,298.96,4.17
2023-07-28,d_209,2023_30,Friday,5,7,2023,,,,,0,0,0,78.0,3.2,298.57,4.22
2023-07-29,d_210,2023_30,Saturday,6,7,2023,,,,,0,0,0,80.5,3.02,299.15,4.22
2023-07-30,d_211,2023_30,Sunday,7,7,2023,,,,,0,0,0,86.5,3.13,298.89,4.16
2023-07-31,d_212,2023_31,Monday,1,7,2023,,,,,0,0,0,75.1,3.3,298.52,4.2
2023-08-01,d_213,2023_31,Tuesday,2,8,2023,,,,,0,1,1,81.7,2.98,298.47,4.15
2023-08-02,d_214,2023_31,Wednesday,3,8,2023,,,,,0,1,1,78.9,3.16,298.18,4.23
2023-08-03,d_215,2023_31,Thursday,4,8,2023,,,,,0,1,1,79.5,3.09,298.97,4.19
2023-08-04,d_216,2023_31,Friday,5,8,2023,,,,,0,1,1,86.0,3.24,298.73,4.1
2023-08-05,d_217,2023_31,Saturday,6,8,2023,,,,,0,1,1,83.4,3.12,297.94,4.17
2023-08-06,d_218,2023_31,Sunday,7,8,2023,,,,,0,1,1,87.2,3.2,298.69,4.24
2023-08-07,d_219,2023_32,Monday,1,8,2023,,,,,0,1,1,79.5,3.21,298.56,4.15
2023-08-08,d_220,2023_32,Tuesday,2,8,2023,,,,,0,0,0,76.6,3.3,299.57,4.18
2023-08-09,d_221,2023_32,Wednesday,3,8,2023,,,,,0,0,0,78.7,3.13,298.28,4.18
2023-08-10,d_222,2023_32,Thursday,4,8,2023,,,,,0,0,0,80.8,3.17,298.4,4.1
2023-08-11,d_223,2023_32,Friday,5,8,2023,,,,,0,0,0,80.2,3.02,299.44,4.18
2023-08-12,d_224,2023_32,Saturday,6,8,2023,,,,,0,0,0,73.7,3.23,299.56,4.08
2023-08-13,d_225,2023_32,Sunday,7,8,2023,,,,,0,0,0,79.3,3.07,298.73,4.12
2023-08-14,d_226,2023_33,Monday,1,8,2023,,,,,0,0,0,79.7,3.08,298.8,4.21
2023-08-15,d_227,2023_33,Tuesday,2,8,2023,,,SummerFestival,Cultural,0,0,0,90.9,3.11,299.31,4.17
2023-08-16,d_228,2023_33,Wednesday,3,8,2023,,,,,0,0,0,87.5,2.98,298.16,4.14
2023-08-17,d_229,2023_33,Thursday,4,8,2023,,,,,0,0,0,73.6,3.12,298.36,4.17
2023-08-18,d_230,2023_33,Friday,5,8,2023,,,,,0,0,0,76.1,3.17,299.01,4.15
2023-08-19,d_231,2023_33,Saturday,6,8,2023,,,,,0,0,0,70.0,3.11,299.76,4.15
2023-08-20,d_232,2023_33,Sunday,7,8,2023,,,,,0,0,0,74.1,2.96,298.98,4.18
2023-08-21,d_233,2023_34,Monday,1,8,2023,,,,,0,0,0,78.4,3.07,299.22,4.11
2023-08-22,d_234,2023_34,Tuesday,2,8,2023,,,,,0,0,0,82.5,3.13,299.65,4.15
2023-08-23,d_235,2023_34,Wednesday,3,8,2023,,,,,0,0,0,72.6,2.92,300.05,4.13
2023-08-24,d_236,2023_34,Thursday,4,8,2023,,,,,0,0,0,72.7,2.98,299.0,4.07
2023-08-25,d_237,2023_34,Friday,5,8,2023,,,,,0,0,0,64.9,3.13,299.24,4.1
2023-08-26,d_238,2023_34,Saturday,6,8,2023,,,,,0,0,0,74.6,3.07,299.99,4.23
2023-08-27,d_239,2023_34,Sunday,7,8,2023,,,,,0,0,0,69.8,3.08,298.68,4.17
2023-08-28,d_240,2023_35,Monday,1,8,2023,,,,,0,0,0,72.2,3.19,299.71,4.09
2023-08-29,d_241,2023_35,Tuesday,2,8,2023,,,,,0,0,0,70.2,3.07,298.91,4.07
2023-08-30,d_242,2023_35,Wednesday,3,8,2023,,,,,0,0,0,73.8,3.08,299.38,4.15
2023-08-31,d_243,2023_35,Thursday,4,8,2023,,,,,0,0,0,65.2,3.24,299.26,4.23
2023-09-01,d_244,2023_35,Friday,5,9,2023,,,,,1,1,1,66.3,3.0,298.99,4.14
2023-09-02,d_245,2023_35,Saturday,6,9,2023,,,,,1,1,1,84.0,2.95,299.0,4.22
2023-09-03,d_246,2023_35,Sunday,7,9,2023,,,,,1,1,1,66.6,3.04,299.52,4.17
2023-09-04,d_247,2023_36,Monday,1,9,2023,,,,,1,1,1,67.3,3.04,299.83,4.18
2023-09-05,d_248,2023_36,Tuesday,2,9,2023,,,,,1,1,1,81.7,2.96,299.39,4.09
2023-09-06,d_249,2023_36,Wednesday,3,9,2023,,,,,1,1,1,86.7,2.91,299.49,4.21
2023-09-07,d_250,2023_36,Thursday,4,9,2023,,,,,1,1,1,66.0,3.17,299.71,4.14
2023-09-08,d_251,2023_36,Friday,5,9,2023,,,,,0,0,0,69.7,3.01,299.11,4.2
2023-09-09,d_252,2023_36,Saturday,6,9,2023,,,,,0,0,0,73.0,2.92,299.81,4.12
2023-09-10,d_253,2023_36,Sunday,7,9,2023,,,,,0,0,0,79.6,3.05,299.86,4.17
2023-09-11,d_254,2023_37,Monday,1,9,2023,,,,,0,0,0,65.7,2.96,300.6,4.18
2023-09-12,d_255,2023_37,Tuesday,2,9,2023,,,,,0,0,0,69.1,2.95,299.42,4.16
